Country,Bachelor Program,Year,Semester,Subject,Unit Name,Topic,Subtopic,Learning Outcome
,,2,3,Sports Science,Applied Training Science,"Diagnostics, Planning & Periodization",Sport-specific testing: performance profiling,Develop training cycles that optimize performance growth
,,2,3,Sports Science,Applied Training Science,"Diagnostics, Planning & Periodization",Sport-specific testing: performance profiling,Apply theory to design practical coaching plans
,,2,3,Sports Science,Applied Training Science,"Diagnostics, Planning & Periodization",SMART training goals and micro/meso/macrocycle planning,Analyze sport demands and athlete capacity through data
,,2,3,Sports Science,Applied Training Science,"Diagnostics, Planning & Periodization",SMART training goals and micro/meso/macrocycle planning,Develop training cycles that optimize performance growth
,,2,3,Sports Science,Applied Training Science,"Diagnostics, Planning & Periodization",SMART training goals and micro/meso/macrocycle planning,Apply theory to design practical coaching plans
,,2,3,Sports Science,Applied Training Science,"Diagnostics, Planning & Periodization",Monitoring adaptation and recovery strategies,Analyze sport demands and athlete capacity through data
,,2,3,Sports Science,Applied Training Science,"Diagnostics, Planning & Periodization",Monitoring adaptation and recovery strategies,Develop training cycles that optimize performance growth
,,2,3,Sports Science,Applied Training Science,"Diagnostics, Planning & Periodization",Monitoring adaptation and recovery strategies,Apply theory to design practical coaching plans
,,2,3,Sports Science,Forest and Mountain Outdoor Life,Friluftsliv Leadership in Forested and Alpine Environments,"Wilderness navigation, survival, and safety",Lead safe and educational outdoor activities in nature
,,2,3,Sports Science,Forest and Mountain Outdoor Life,Friluftsliv Leadership in Forested and Alpine Environments,"Wilderness navigation, survival, and safety",Apply environmental ethics in outdoor leadership
,,2,3,Sports Science,Forest and Mountain Outdoor Life,Friluftsliv Leadership in Forested and Alpine Environments,"Wilderness navigation, survival, and safety",Reflect on outdoor pedagogy for wellbeing and education
,,2,3,Sports Science,Forest and Mountain Outdoor Life,Friluftsliv Leadership in Forested and Alpine Environments,Nature-based pedagogy and environmental stewardship,Lead safe and educational outdoor activities in nature
,,2,3,Sports Science,Forest and Mountain Outdoor Life,Friluftsliv Leadership in Forested and Alpine Environments,Nature-based pedagogy and environmental stewardship,Apply environmental ethics in outdoor leadership
,,2,3,Sports Science,Forest and Mountain Outdoor Life,Friluftsliv Leadership in Forested and Alpine Environments,Nature-based pedagogy and environmental stewardship,Reflect on outdoor pedagogy for wellbeing and education
,,2,3,Sports Science,Forest and Mountain Outdoor Life,Friluftsliv Leadership in Forested and Alpine Environments,Risk management in remote terrains,Lead safe and educational outdoor activities in nature
,,2,3,Sports Science,Forest and Mountain Outdoor Life,Friluftsliv Leadership in Forested and Alpine Environments,Risk management in remote terrains,Apply environmental ethics in outdoor leadership
,,2,3,Sports Science,Forest and Mountain Outdoor Life,Friluftsliv Leadership in Forested and Alpine Environments,Risk management in remote terrains,Reflect on outdoor pedagogy for wellbeing and education
,,2,4,Sports Science,Local Outdoor Life & Sport Activities in a Societal Perspective,Outdoor Recreation within Urban & Community Contexts,Community outdoor projects and urban sport initiatives,Plan activities that connect community and outdoor sports
,,2,4,Sports Science,Local Outdoor Life & Sport Activities in a Societal Perspective,Outdoor Recreation within Urban & Community Contexts,Community outdoor projects and urban sport initiatives,Evaluate the social and health benefits of active lifestyles
,,2,4,Sports Science,Local Outdoor Life & Sport Activities in a Societal Perspective,Outdoor Recreation within Urban & Community Contexts,Community outdoor projects and urban sport initiatives,Reflect on the societal role of outdoor education and activity
,,2,4,Sports Science,Local Outdoor Life & Sport Activities in a Societal Perspective,Outdoor Recreation within Urban & Community Contexts,Facilitation of inclusive activities in society,Plan activities that connect community and outdoor sports
,,2,4,Sports Science,Local Outdoor Life & Sport Activities in a Societal Perspective,Outdoor Recreation within Urban & Community Contexts,Facilitation of inclusive activities in society,Evaluate the social and health benefits of active lifestyles
,,2,4,Sports Science,Local Outdoor Life & Sport Activities in a Societal Perspective,Outdoor Recreation within Urban & Community Contexts,Facilitation of inclusive activities in society,Reflect on the societal role of outdoor education and activity
,,2,4,Sports Science,Local Outdoor Life & Sport Activities in a Societal Perspective,Outdoor Recreation within Urban & Community Contexts,Health promotion through local outdoor engagement,Plan activities that connect community and outdoor sports
,,2,4,Sports Science,Local Outdoor Life & Sport Activities in a Societal Perspective,Outdoor Recreation within Urban & Community Contexts,Health promotion through local outdoor engagement,Evaluate the social and health benefits of active lifestyles
,,2,4,Sports Science,Local Outdoor Life & Sport Activities in a Societal Perspective,Outdoor Recreation within Urban & Community Contexts,Health promotion through local outdoor engagement,Reflect on the societal role of outdoor education and activity
,,2,4,Sports Science,Coaching and the Coaching Profession,"Coaching Roles, Ethics, and Career Development",Coaching philosophy and identity,Define your coaching philosophy and role within sport
,,2,4,Sports Science,Coaching and the Coaching Profession,"Coaching Roles, Ethics, and Career Development",Coaching philosophy and identity,Apply ethical guidelines and professional conduct as a coach
,,2,4,Sports Science,Coaching and the Coaching Profession,"Coaching Roles, Ethics, and Career Development",Coaching philosophy and identity,Explore pathways in coaching education and leadership
,,2,4,Sports Science,Coaching and the Coaching Profession,"Coaching Roles, Ethics, and Career Development",Ethical responsibilities and professional standards,Define your coaching philosophy and role within sport
,,2,4,Sports Science,Coaching and the Coaching Profession,"Coaching Roles, Ethics, and Career Development",Ethical responsibilities and professional standards,Apply ethical guidelines and professional conduct as a coach
,,2,4,Sports Science,Coaching and the Coaching Profession,"Coaching Roles, Ethics, and Career Development",Ethical responsibilities and professional standards,Explore pathways in coaching education and leadership
,,2,4,Sports Science,Coaching and the Coaching Profession,"Coaching Roles, Ethics, and Career Development","Career paths, mentoring, and coach education",Define your coaching philosophy and role within sport
,,2,4,Sports Science,Coaching and the Coaching Profession,"Coaching Roles, Ethics, and Career Development","Career paths, mentoring, and coach education",Apply ethical guidelines and professional conduct as a coach
,,2,4,Sports Science,Coaching and the Coaching Profession,"Coaching Roles, Ethics, and Career Development","Career paths, mentoring, and coach education",Explore pathways in coaching education and leadership
,,2,4,Sports Science,Winter & Coastal Outdoor Life,Outdoor Skills in Winter and Marine Settings,Ski and cold-weather skills,Demonstrate competence in winter and coastal outdoor activities
,,2,4,Sports Science,Winter & Coastal Outdoor Life,Outdoor Skills in Winter and Marine Settings,Ski and cold-weather skills,Lead safe and impactful outdoor experiences in diverse terrains
,,2,4,Sports Science,Winter & Coastal Outdoor Life,Outdoor Skills in Winter and Marine Settings,Ski and cold-weather skills,Assess and mitigate environmental risks responsibly
,,2,4,Sports Science,Winter & Coastal Outdoor Life,Outdoor Skills in Winter and Marine Settings,"Coastal safety: kayaking, navigation, marine environment",Demonstrate competence in winter and coastal outdoor activities
,,2,4,Sports Science,Winter & Coastal Outdoor Life,Outdoor Skills in Winter and Marine Settings,"Coastal safety: kayaking, navigation, marine environment",Lead safe and impactful outdoor experiences in diverse terrains
,,2,4,Sports Science,Winter & Coastal Outdoor Life,Outdoor Skills in Winter and Marine Settings,"Coastal safety: kayaking, navigation, marine environment",Assess and mitigate environmental risks responsibly
,,2,4,Sports Science,Winter & Coastal Outdoor Life,Outdoor Skills in Winter and Marine Settings,Environmental awareness and risk management,Demonstrate competence in winter and coastal outdoor activities
,,2,4,Sports Science,Winter & Coastal Outdoor Life,Outdoor Skills in Winter and Marine Settings,Environmental awareness and risk management,Lead safe and impactful outdoor experiences in diverse terrains
,,2,4,Sports Science,Winter & Coastal Outdoor Life,Outdoor Skills in Winter and Marine Settings,Environmental awareness and risk management,Assess and mitigate environmental risks responsibly
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Identification of a relevant research question,Demonstrate in-depth understanding of theoretical frameworks and existing research relevant to the topic
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Identification of a relevant research question,"Apply suitable empirical methods to investigate a sport science problem, analyze data, and synthesize findings"
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Identification of a relevant research question,"Plan and execute a comprehensive research project, and present it both in writing and orally with academic rigour"
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Literature review and theoretical framing,Demonstrate in-depth understanding of theoretical frameworks and existing research relevant to the topic
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Literature review and theoretical framing,"Apply suitable empirical methods to investigate a sport science problem, analyze data, and synthesize findings"
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Literature review and theoretical framing,"Plan and execute a comprehensive research project, and present it both in writing and orally with academic rigour"
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Selection and application of appropriate research methods,Demonstrate in-depth understanding of theoretical frameworks and existing research relevant to the topic
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Selection and application of appropriate research methods,"Apply suitable empirical methods to investigate a sport science problem, analyze data, and synthesize findings"
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Selection and application of appropriate research methods,"Plan and execute a comprehensive research project, and present it both in writing and orally with academic rigour"
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,"Data collection, analysis, and interpretation",Demonstrate in-depth understanding of theoretical frameworks and existing research relevant to the topic
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,"Data collection, analysis, and interpretation","Apply suitable empirical methods to investigate a sport science problem, analyze data, and synthesize findings"
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,"Data collection, analysis, and interpretation","Plan and execute a comprehensive research project, and present it both in writing and orally with academic rigour"
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Writing a scientific report (~8000 words) and oral defense,Demonstrate in-depth understanding of theoretical frameworks and existing research relevant to the topic
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Writing a scientific report (~8000 words) and oral defense,"Apply suitable empirical methods to investigate a sport science problem, analyze data, and synthesize findings"
,,3,5,Sports Science,Bachelor’s Thesis,Independent Empirical Research in Sport Science,Writing a scientific report (~8000 words) and oral defense,"Plan and execute a comprehensive research project, and present it both in writing and orally with academic rigour"
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,"Cognitive, associative, and autonomous stages of learning",Understand and apply key motor learning theories
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,"Cognitive, associative, and autonomous stages of learning",Critically evaluate instructional strategies to optimize skill acquisition
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,"Cognitive, associative, and autonomous stages of learning",Design motor learning environments suited to diverse learner groups
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,"Feedback, practice structure, and skill retention",Understand and apply key motor learning theories
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,"Feedback, practice structure, and skill retention",Critically evaluate instructional strategies to optimize skill acquisition
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,"Feedback, practice structure, and skill retention",Design motor learning environments suited to diverse learner groups
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,Individual and age-related differences in motor acquisition,Understand and apply key motor learning theories
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,Individual and age-related differences in motor acquisition,Critically evaluate instructional strategies to optimize skill acquisition
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,Individual and age-related differences in motor acquisition,Design motor learning environments suited to diverse learner groups
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,Comparative research on learning strategies,Understand and apply key motor learning theories
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,Comparative research on learning strategies,Critically evaluate instructional strategies to optimize skill acquisition
,,3,5,Sports Science,Motor Learning & Skill Development,Theory and Acquisition of Motor Skills,Comparative research on learning strategies,Design motor learning environments suited to diverse learner groups
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,Philosophy of science and ethics in sport research,Evaluate philosophical underpinnings of scientific inquiry in sport science
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,Philosophy of science and ethics in sport research,Design robust research methodologies and perform statistical analyses
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,Philosophy of science and ethics in sport research,Interpret quantitative and qualitative data and draw valid conclusions
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,Research design principles across paradigms,Evaluate philosophical underpinnings of scientific inquiry in sport science
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,Research design principles across paradigms,Design robust research methodologies and perform statistical analyses
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,Research design principles across paradigms,Interpret quantitative and qualitative data and draw valid conclusions
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,"Statistical techniques, data interpretation, and validity issues",Evaluate philosophical underpinnings of scientific inquiry in sport science
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,"Statistical techniques, data interpretation, and validity issues",Design robust research methodologies and perform statistical analyses
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,"Statistical techniques, data interpretation, and validity issues",Interpret quantitative and qualitative data and draw valid conclusions
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,Use of statistical software for analysis,Evaluate philosophical underpinnings of scientific inquiry in sport science
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,Use of statistical software for analysis,Design robust research methodologies and perform statistical analyses
,,3,5,Sports Science,"Philosophy of Science, Methodology & Statistics",Scientific Theory and Quantitative/Qualitative Research Skills,Use of statistical software for analysis,Interpret quantitative and qualitative data and draw valid conclusions
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,Macronutrients and micronutrients in sports and wellness,Explain nutritional needs for various sport and health contexts
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,Macronutrients and micronutrients in sports and wellness,Assess individual dietary requirements and provide practical guidance
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,Macronutrients and micronutrients in sports and wellness,Reflect scientifically on nutrition’s role in health promotion and disease prevention
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,"Energy balance, weight management, and metabolism",Explain nutritional needs for various sport and health contexts
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,"Energy balance, weight management, and metabolism",Assess individual dietary requirements and provide practical guidance
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,"Energy balance, weight management, and metabolism",Reflect scientifically on nutrition’s role in health promotion and disease prevention
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,"Hydration, supplements, and ergogenic aids",Explain nutritional needs for various sport and health contexts
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,"Hydration, supplements, and ergogenic aids",Assess individual dietary requirements and provide practical guidance
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,"Hydration, supplements, and ergogenic aids",Reflect scientifically on nutrition’s role in health promotion and disease prevention
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,Diet-related health conditions and prevention,Explain nutritional needs for various sport and health contexts
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,Diet-related health conditions and prevention,Assess individual dietary requirements and provide practical guidance
,,3,6,Sports Science,"Nutrition, Physical Activity & Health",Nutritional Strategies for Health and Performance,Diet-related health conditions and prevention,Reflect scientifically on nutrition’s role in health promotion and disease prevention
,Biological Chemistry,1,1,Cell Biology,Cellebiologi (Cell Biology),Cell structure and organelles; Membrane transport; Cell division; Signalling pathways; Microscopy techniques,Cell ultrastructure; Membrane function; Cell cycle regulation,Understand cell ultrastructure; Explain membrane function; Describe cell cycle regulation and signalling systems
,,1,1,Chemistry,Generell kjemi (General Chemistry),Atomic/molecular structure; Stoichiometry; Acid-base chemistry; Thermodynamics; Chemical bonding and periodic trends,Chemical principles; Reactions and equilibrium,"Apply chemical principles to reactions, equilibrium, and thermodynamics; Perform quantitative chemical analyses"
,,1,1,Mathematics,Matematiske metoder 1 (Mathematical Methods 1),Calculus (differentiation/integration); Functions; Basic linear algebra,Mathematical modeling,Use calculus and algebra to model and solve biological-chemical problems
,,1,1,Study Techniques,Studieteknikk & realfaglig arbetsmetode,Study techniques; Scientific work methods,Not Specified,Not Specified
,,1,2,Biology,Anatomi og fysiologi (Anatomy & Physiology),Human organ systems; Homeostasis; Histology; Physiological regulation mechanisms,Structure–function relationships; Systemic regulation,Explain structure–function relationships; Understand systemic regulation and physiological responses
,,1,2,Biochemistry,Biokjemi (Biochemistry),"Macromolecular structure; Enzyme kinetics; Metabolic pathways; Regulation; Metabolic diseases; Bioinformatics tools like PyMOL; Lipid, carbohydrate, nucleotide metabolism; Redox, energy production",Biomolecular properties; Reaction energetics; Metabolic pathway analysis,Describe biomolecular properties; Calculate reaction energetics; Apply enzyme kinetics; Analyze metabolic pathways; Use PyMOL; Explain biochemical regulation and disease processes
,,1,2,Chemistry,Organisk kjemi (Organic Chemistry),Hydrocarbons; Functional groups; Reaction mechanisms; Stereochemistry,Structural relationships of biomolecules,Predict reaction outcomes; Understand structural relationships of biomolecules
,,1,2,Chemistry,Organisk kjemi laboratorium (Organic Chemistry Lab),Synthesis techniques; Purification; Spectroscopy; Reaction analysis,Lab safety,Perform syntheses; Analyze compounds; Maintain lab safety
,,2,3,Microbiology,Mikrobiologi (Microbiology),Microbial diversity; Physiology; Growth; Genetics; Pathogenicity,Sterile lab techniques,Identify microbial types; Explain their metabolic and genetic mechanisms; Apply sterile lab techniques
,,2,3,Molecular Genetics,Molecular Genetics & Bioinformatics,DNA/RNA organization; Gene expression; Sequencing technologies; Computational genomics,Genetic regulatory mechanisms,Explain genetic regulatory mechanisms; Use bioinformatics tools; Analyze sequence data
,,2,3,Immunology,Immunologi (Immunology),Innate and adaptive immunity; Antigen presentation; Immunopathology,Immunological assays,Describe immune components; Explain immune responses and disease mechanisms; Apply immunological assays
,,2,4,Biotechnology,Bioteknologi (Biotechnology),Genetic engineering; Recombinant protein production; Bioprocesses; Industrial biotech,Ethical and regulatory aspects,Explain biotech tools; Design molecular biology experiments; Understand ethical and regulatory aspects
,,2,4,Biomaterials,Biomaterialer (Biomaterials),Material–biological interactions; Polymers; Scaffolds; Biocompatibility testing,Biomaterial applications,Describe biomaterials; Evaluate material interactions; Plan biomaterial applications
,,2,4,Statistics,Probability & Statistics,Probability distributions; Hypothesis testing; Regression analysis,Experimental design,Apply statistical methods; Evaluate experimental data; Design experiments
,,3,5,Thesis,Bacheloroppgave i biologisk kjemi (Bachelor Thesis),Experimental or theoretical project in molecular biology/biochemistry,Literature reviews; Lab techniques; Statistical rigor,Work independently in labs; Define and communicate scientific problems; Conduct literature reviews; Apply lab techniques; Critically evaluate results; Adhere to ethics and statistical rigor
,,3,5,Various,Valgemner (Electives),Varies by elective chosen,Varies by elective chosen,Varies by elective chosen
,,3,6,Various,Valgemner (Electives),Varies by elective chosen,Varies by elective chosen,Varies by elective chosen
